Age	ID	Sex	Location	AntiGot	Condition	Cost	NeutGot
9.297222222	140	F	Urban	Bad	Private	N	Good
5.411111111	141	F	Urban	Empty	Private	N	Good
9.330555556	142	F	Urban	Good	Private	N	Good
4.913888889	143	M	Urban	Good	Private	N	Good
10.49444444	144	M	Urban	Bad	Private	N	Good
9.872222222	145	F	Urban	Good	Public	N	Good
9.505555556	146	M	Urban	Bad	Private	N	Good
9.5	147	M	Urban	Bad	Public	N	Good
9.883333333	149	F	Urban	Bad	Private	N	Good
10.90555556	150	F	Urban	Bad	Private	N	Good
7.2	151	M	Urban	Bad	Public	N	Good
9.863888889	152	M	Urban	Bad	Private	N	Good
9.408333333	153	F	Urban	Good	Public	N	Empty
9.352777778	154	F	Urban	Good	Private	N	Good
9.863888889	155	M	Urban	Bad	Public	N	Good
10.08055556	156	M	Urban	Bad	Public	N	Good
9.577777778	157	M	Urban	Bad	Public	N	Good
9.513888889	158	F	Urban	Bad	Private	N	Good
9.694444444	159	F	Urban	Bad	Private	N	Good
9.658333333	160	F	Urban	Empty	Private	N	Good
9.519444444	161	F	Urban	Bad	Private	N	Good
9.844444444	162	M	Urban	Bad	Private	N	Good
9.927777778	163	M	Urban	Bad	Private	N	Good
9.658333333	164	F	Urban	Bad	Private	N	Good
10.275	165	F	Urban	Bad	Private	N	Good
9.952777778	166	M	Urban	Bad	Private	N	Good
9.436111111	167	M	Urban	Bad	Private	N	Good
9.847222222	169	M	Urban	Empty	Private	N	Good
9.325	170	M	Urban	Empty	Private	N	Good
9.302777778	171	M	Urban	Bad	Private	N	Good
9.766666667	172	F	Urban	Good	Private	N	Good
9.413888889	173	M	Urban	Good	Private	N	Good
9.908333333	174	M	Urban	Empty	Private	N	Good
10.58333333	175	F	Urban	Bad	Private	N	Good
6.869444444	176	M	Urban	Good	Public	N	Good
4.5	177	F	Urban	Good	Private	N	Good
5.5	206	M	Urban	Good	Private	N	Good
4.5	207	M	Urban	Good	Private	N	Good
5.5	208	F	Urban	Good	Private	N	Good
5.5	209	F	Urban	Good	Public	N	Good
